"time","dx","rho_1","rho_2","x","der(dx)","der(rho_1)","der(rho_2)","der(x)","dm_1","dm_2","drho_1","drho_2"
0.0053,-3.846332104535962,1001.946417478922,1003.558728246296,0.003321756906609148,-3186.158213701443,3904.074116905068,-3936.372906818425,-3.846332104535962,63.22382949283962,63.27707768720358,3904.074116905068,-3936.372906818425
0.00532,-3.906895476956978,1002.02511262255,1003.479394415023,0.003244213715344755,-2869.494630175999,3964.3500097009,-3995.90375498053,-3.906895476956978,62.40382807245271,62.4510819538454,3964.3500097009,-3995.90375498053
0.00534,-3.961079906298588,1002.104949771921,1003.398934546705,0.003165522895296219,-2548.358750504802,4018.258657269732,-4048.962492123045,-3.961079906298588,61.56076650462883,61.60205101766809,4018.258657269732,-4048.962492123045
0.00536,-4.008801454585345,1002.185800589349,1003.317478996172,0.00308581298037413,-2223.268799099179,4065.712933247387,-4095.468843782532,-4.008801454585345,60.69506782391625,60.73042365291563,4065.712933247387,-4095.468843782532
0.00538,-4.049985697996747,1002.267535350705,1003.235159398751,0.003005213842499542,-1894.748239111105,4106.635035984007,-4135.352317593245,-4.049985697996747,59.80716870343396,59.83665227237373,4106.635035984007,-4135.352317593245
0.0054,-4.084569655850002,1002.350022643292,1003.152108889433,0.002923856954219589,-1563.326795724214,4140.958442366878,-4168.554128236382,-4.084569655850002,58.89752547637476,58.92120808778019,4140.958442366878,-4168.554128236382
0.00542,-4.112500859747771,1002.433129861956,1003.0684616413,0.002841874910050455,-1229.538550090351,4168.627003674721,-4195.026229803363,-4.112500859747771,57.96661176888191,57.98457912816315,4168.627003674721,-4195.026229803363
0.00544,-4.133736769137822,1002.516723550892,1002.984352552785,0.002759401101754104,-893.9206360945969,4189.594388188851,-4214.730699386241,-4.133736769137822,57.0149177416213,57.02726983341748,4189.594388188851,-4214.730699386241
0.00546,-4.148246597567974,1002.600669244349,1002.89991731047,0.002676569827585964,-557.0136662669646,4203.825936412057,-4227.641552547633,-4.148246597567974,56.0429551616356,56.04980504187402,4203.825936412057,-4227.641552547633
0.00548,-4.156010102850614,1002.684831942072,1002.815291974594,0.002593515849950828,-219.3599640148589,4211.297480286556,-4233.743494378376,-4.156010102850614,55.05125552421592,55.05272878157894,4211.297480286556,-4233.743494378376
0.0055,-4.157017283036368,1002.769076366427,1002.730612740057,0.00251037414769142,118.4974255721889,4211.995068498713,-4233.031585560729,-4.157017283036368,54.04037067922136,54.03660511191224,4211.995068498713,-4233.031585560729
0.005520000000000001,-4.151269930268381,1002.853266941151,1002.646015863678,0.002427279891560444,456.0148542486055,4205.916551874486,-4225.512779725495,-4.151269930268381,53.01087702222356,53.00202116545574,4205.916551874486,-4225.512779725495
0.00554,-4.138780269116348,1002.937268205079,1002.561637331173,0.002344368072196159,792.6495505032863,4193.070251551974,-4211.204523917575,-4.138780269116348,51.96337476555717,51.94958732697786,4193.070251551974,-4211.204523917575
0.005560000000000001,-4.119570989979721,1003.020945013139,1002.477612653641,0.002261773299309268,1127.860428895987,4173.475022965873,-4190.134765280787,-4.119570989979721,50.89848991998038,50.87993915610154,4173.475022965873,-4190.134765280787
0.00558,-4.093676399314091,1003.104162640769,1002.394076688067,0.002179629658863637,1461.108669397827,4147.161438442044,-4162.34308090417,-4.093676399314091,49.81687785712802,49.79373992448807,4147.161438442044,-4162.34308090417
0.005600000000000001,-4.061140948624352,1003.186787115068,1002.311163400272,0.002098070431940113,1791.858839077574,4114.170345479822,-4127.879172958671,-4.061140948624352,48.71922436173639,48.69168277110553,4114.170345479822,-4127.879172958671
0.00562,-4.022019716509116,1003.268685397738,1002.229005649039,0.002017227895743884,2119.579694564628,4074.553379814778,-4086.803328356732,-4.022019716509116,47.60624892935243,47.57449350059169,4074.553379814778,-4086.803328356732
